MYFSCHOOLS USER ACCOUNTS
Generated: 2026-03-04
Default password for all seeded accounts: 123456

[Exam Officer]
0990000000 | Cô Khảo thí | EXAM_OFFICER

[Subject Teachers]
0970000001 | Thầy Toán | SUBJECT_TEACHER | Toán
0970000002 | Cô Văn | SUBJECT_TEACHER | Ngữ văn
0970000003 | Cô Anh | SUBJECT_TEACHER | Tiếng Anh
0970000004 | Thầy KHTN | SUBJECT_TEACHER | Khoa học tự nhiên
0970000005 | Cô Tin | SUBJECT_TEACHER | Tin học

[Homeroom Teachers]
0986100000 | GVCN 6A | HOMEROOM_TEACHER | 6A
0986200000 | GVCN 6B | HOMEROOM_TEACHER | 6B
0987100000 | GVCN 7A | HOMEROOM_TEACHER | 7A
0987200000 | GVCN 7B | HOMEROOM_TEACHER | 7B
0988100000 | GVCN 8A | HOMEROOM_TEACHER | 8A
0988200000 | GVCN 8B | HOMEROOM_TEACHER | 8B
0989100000 | GVCN 9A | HOMEROOM_TEACHER | 9A
0989200000 | GVCN 9B | HOMEROOM_TEACHER | 9B

[Students]
0610000001 | Học sinh 6A-01 | STUDENT | 6A
0610000002 | Học sinh 6A-02 | STUDENT | 6A
0610000003 | Học sinh 6A-03 | STUDENT | 6A
0610000004 | Học sinh 6A-04 | STUDENT | 6A
0610000005 | Học sinh 6A-05 | STUDENT | 6A
0610000006 | Học sinh 6A-06 | STUDENT | 6A
0610000007 | Học sinh 6A-07 | STUDENT | 6A
0610000008 | Học sinh 6A-08 | STUDENT | 6A
0610000009 | Học sinh 6A-09 | STUDENT | 6A
0610000010 | Học sinh 6A-10 | STUDENT | 6A
0610000011 | Học sinh 6A-11 | STUDENT | 6A
0610000012 | Học sinh 6A-12 | STUDENT | 6A
0610000013 | Học sinh 6A-13 | STUDENT | 6A
0610000014 | Học sinh 6A-14 | STUDENT | 6A
0610000015 | Học sinh 6A-15 | STUDENT | 6A
0620000001 | Học sinh 6B-01 | STUDENT | 6B
0620000002 | Học sinh 6B-02 | STUDENT | 6B
0620000003 | Học sinh 6B-03 | STUDENT | 6B
0620000004 | Học sinh 6B-04 | STUDENT | 6B
0620000005 | Học sinh 6B-05 | STUDENT | 6B
0620000006 | Học sinh 6B-06 | STUDENT | 6B
0620000007 | Học sinh 6B-07 | STUDENT | 6B
0620000008 | Học sinh 6B-08 | STUDENT | 6B
0620000009 | Học sinh 6B-09 | STUDENT | 6B
0620000010 | Học sinh 6B-10 | STUDENT | 6B
0620000011 | Học sinh 6B-11 | STUDENT | 6B
0620000012 | Học sinh 6B-12 | STUDENT | 6B
0620000013 | Học sinh 6B-13 | STUDENT | 6B
0620000014 | Học sinh 6B-14 | STUDENT | 6B
0620000015 | Học sinh 6B-15 | STUDENT | 6B
0710000001 | Học sinh 7A-01 | STUDENT | 7A
0710000002 | Học sinh 7A-02 | STUDENT | 7A
0710000003 | Học sinh 7A-03 | STUDENT | 7A
0710000004 | Học sinh 7A-04 | STUDENT | 7A
0710000005 | Học sinh 7A-05 | STUDENT | 7A
0710000006 | Học sinh 7A-06 | STUDENT | 7A
0710000007 | Học sinh 7A-07 | STUDENT | 7A
0710000008 | Học sinh 7A-08 | STUDENT | 7A
0710000009 | Học sinh 7A-09 | STUDENT | 7A
0710000010 | Học sinh 7A-10 | STUDENT | 7A
0710000011 | Học sinh 7A-11 | STUDENT | 7A
0710000012 | Học sinh 7A-12 | STUDENT | 7A
0710000013 | Học sinh 7A-13 | STUDENT | 7A
0710000014 | Học sinh 7A-14 | STUDENT | 7A
0710000015 | Học sinh 7A-15 | STUDENT | 7A
0720000001 | Học sinh 7B-01 | STUDENT | 7B
0720000002 | Học sinh 7B-02 | STUDENT | 7B
0720000003 | Học sinh 7B-03 | STUDENT | 7B
0720000004 | Học sinh 7B-04 | STUDENT | 7B
0720000005 | Học sinh 7B-05 | STUDENT | 7B
0720000006 | Học sinh 7B-06 | STUDENT | 7B
